block,stimulus,response,score,rt,filename
1,bad,s,0,745,run1
1,joy,a,1,545,run1
1,nasty,s,0,585,run1
1,love,a,1,585,run1
1,agony,w,0,875,run1
1,pleasure,,0,0,run1
1,evil,,0,-385,run1
1,good,,0,-885,run1
1,happy,,0,-1385,run1
1,hurt,,0,-1885,run1
2,black1,,0,-2385,run1
2,white3,,0,-2885,run1
2,black4,,0,-3385,run1
2,white4,,0,-3885,run1
2,black3,,0,-4385,run1
2,white2,,0,-4885,run1
2,white1,,0,-5385,run1
2,black5,,0,-5885,run1
2,black2,,0,-6385,run1
2,white5,,0,-6885,run1
3,white5,,0,-7385,run1
3,agony,,0,-7470,run1
3,good,,0,-7970,run1
3,nasty,,0,-8470,run1
3,white2,,0,-8970,run1
3,hurt,,0,-9470,run1
3,happy,,0,-9970,run1
3,bad,,0,-10470,run1
3,love,,0,-10970,run1
3,black1,,0,-11470,run1
3,evil,,0,-11970,run1
3,black5,,0,-12470,run1
3,joy,,0,-12970,run1
3,pleasure,,0,-13470,run1
3,white1,,0,-13970,run1
3,white3,,0,-14470,run1
3,black2,,0,-14970,run1
3,black4,,0,-15470,run1
3,white4,,0,-15970,run1
3,black3,,0,-16470,run1
4,block4,,0,-16970,run1
5,black1,,0,-17470,run1
5,white4,,0,-17970,run1
5,black3,,0,-18470,run1
5,black5,,0,-18970,run1
5,black2,,0,-19470,run1
5,black4,,0,-19970,run1
5,white1,,0,-20470,run1
5,white2,,0,-20970,run1
5,white5,,0,-21470,run1
5,white3,,0,-21970,run1
6,good,,0,-22470,run1
6,black5,,0,-22970,run1
6,white5,,0,-23470,run1
6,black4,,0,-23970,run1
6,black2,,0,-24470,run1
6,evil,,0,-24970,run1
6,black1,,0,-25470,run1
6,hurt,,0,-25970,run1
6,agony,,0,-26470,run1
6,white3,,0,-26970,run1
6,happy,,0,-27470,run1
6,white2,,0,-27970,run1
6,love,,0,-28470,run1
6,joy,,0,-28970,run1
6,black3,,0,-29470,run1
6,pleasure,,0,-29970,run1
6,white4,,0,-30470,run1
6,nasty,,0,-30970,run1
6,bad,,0,-31470,run1
6,white1,,0,-31970,run1
