block,stimulus,response,score,rt,filename
1,bad,d,1,745,run1
1,joy,w,0,835,run1
1,happy,w,0,585,run1
1,good,a,1,645,run1
1,evil,s,0,545,run1
1,nasty,s,0,535,run1
1,love,a,1,635,run1
1,pleasure,a,1,535,run1
1,hurt,a,0,585,run1
1,agony,s,0,635,run1
2,black4,s,0,535,run1
2,black2,d,1,635,run1
2,white5,a,1,585,run1
2,white3,s,0,585,run1
2,black3,s,0,535,run1
2,white4,a,1,635,run1
2,black5,s,0,585,run1
2,white1,s,0,535,run1
2,black1,s,0,585,run1
2,white2,,0,0,run1
3,white2,,0,-475,run1
3,love,,0,-560,run1
3,agony,,0,-1060,run1
3,white1,,0,-1560,run1
3,white4,,0,-2060,run1
3,happy,,0,-2560,run1
3,bad,,0,-3060,run1
3,hurt,,0,-3560,run1
3,black2,,0,-4060,run1
3,joy,,0,-4560,run1
3,nasty,,0,-5060,run1
3,evil,,0,-5560,run1
3,good,,0,-6060,run1
3,black1,,0,-6560,run1
3,black4,,0,-7060,run1
3,black3,,0,-7560,run1
3,white5,,0,-8060,run1
3,black5,,0,-8560,run1
3,pleasure,,0,-9060,run1
3,white3,,0,-9560,run1
4,block4,,0,-10060,run1
5,black5,,0,-10560,run1
5,black2,,0,-11060,run1
5,white3,,0,-11560,run1
5,white2,,0,-12060,run1
5,white1,,0,-12560,run1
5,black4,,0,-13060,run1
5,black1,,0,-13560,run1
5,black3,,0,-14060,run1
5,white4,,0,-14560,run1
5,white5,,0,-15060,run1
6,hurt,,0,-15560,run1
6,nasty,,0,-16060,run1
6,good,,0,-16560,run1
6,agony,,0,-17060,run1
6,happy,,0,-17560,run1
6,white4,,0,-18060,run1
6,white3,,0,-18560,run1
6,black4,,0,-19060,run1
6,white2,,0,-19560,run1
6,pleasure,,0,-20060,run1
6,white5,,0,-20560,run1
6,love,,0,-21060,run1
6,black3,,0,-21560,run1
6,white1,,0,-22060,run1
6,bad,,0,-22560,run1
6,black2,,0,-23060,run1
6,joy,,0,-23560,run1
6,black1,,0,-24060,run1
6,black5,,0,-24560,run1
6,evil,,0,-25060,run1
