block,stimulus,response,score,rt,filename
1,love,a,1,745,run1
1,happy,s,0,545,run1
1,bad,,0,0,run1
1,evil,,0,-425,run1
1,joy,,0,-925,run1
1,pleasure,,0,-1425,run1
1,hurt,,0,-1925,run1
1,agony,,0,-2425,run1
1,nasty,,0,-2925,run1
1,good,,0,-3425,run1
2,black1,,0,-3925,run1
2,white1,,0,-4425,run1
2,black5,,0,-4925,run1
2,black2,,0,-5425,run1
2,black4,,0,-5925,run1
2,white5,,0,-6425,run1
2,white3,,0,-6925,run1
2,black3,,0,-7425,run1
2,white2,,0,-7925,run1
2,white4,,0,-8425,run1
3,nasty,,0,-8925,run1
3,white5,,0,-9425,run1
3,white3,,0,-9925,run1
3,hurt,,0,-10425,run1
3,agony,,0,-10925,run1
3,bad,,0,-11425,run1
3,black1,,0,-11925,run1
3,black2,,0,-12425,run1
3,love,,0,-12925,run1
3,happy,,0,-13425,run1
3,white4,,0,-13925,run1
3,black3,,0,-14425,run1
3,black4,,0,-14925,run1
3,white1,,0,-15425,run1
3,evil,,0,-15925,run1
3,joy,,0,-16425,run1
3,black5,,0,-16925,run1
3,good,,0,-17425,run1
3,white2,,0,-17925,run1
3,pleasure,,0,-18425,run1
4,block4,,0,-18925,run1
5,white2,,0,-19425,run1
5,black4,,0,-19925,run1
5,black1,,0,-20425,run1
5,white5,,0,-20925,run1
5,white1,,0,-21425,run1
5,black5,,0,-21925,run1
5,white4,,0,-22425,run1
5,black2,,0,-22925,run1
5,white3,,0,-23425,run1
5,black3,,0,-23925,run1
6,black5,,0,-24425,run1
6,hurt,,0,-24925,run1
6,white1,,0,-25425,run1
6,agony,,0,-25925,run1
6,black3,,0,-26425,run1
6,white3,,0,-26925,run1
6,white4,,0,-27425,run1
6,good,,0,-27925,run1
6,love,,0,-28425,run1
6,nasty,,0,-28925,run1
6,white5,,0,-29425,run1
6,bad,,0,-29925,run1
6,joy,,0,-30425,run1
6,happy,,0,-30925,run1
6,black4,,0,-31425,run1
6,evil,,0,-31925,run1
6,white2,,0,-32425,run1
6,pleasure,,0,-32925,run1
6,black1,,0,-33425,run1
6,black2,,0,-33925,run1
