block,stimulus,response,score,rt,filename
1,joy,a,1,945,run1
1,hurt,w,0,1035,run1
1,bad,w,0,785,run1
1,pleasure,s,0,845,run1
1,agony,s,0,695,run1
1,love,w,0,1125,run1
1,happy,a,1,845,run1
1,nasty,w,0,1035,run1
1,evil,s,0,845,run1
1,good,s,0,695,run1
2,black5,d,1,835,run1
2,white4,s,0,785,run1
2,white5,a,1,785,run1
2,white2,s,0,785,run1
2,black4,s,0,735,run1
2,black2,w,0,1125,run1
2,white3,s,0,845,run1
2,white1,s,0,695,run1
2,black1,w,0,1125,run1
2,black3,w,0,785,run1
3,black4,s,0,845,run1
3,nasty,w,0,1035,run1
3,white5,a,1,845,run1
3,pleasure,s,0,745,run1
3,joy,a,1,785,run1
3,hurt,w,0,1075,run1
3,agony,s,0,845,run1
3,good,s,0,695,run1
3,white2,s,0,785,run1
3,black2,w,0,1125,run1
3,evil,s,0,845,run1
3,black3,w,0,1035,run1
3,bad,w,0,785,run1
3,happy,a,1,845,run1
3,white1,s,0,745,run1
3,white4,s,0,735,run1
3,black5,d,1,835,run1
3,black1,w,0,1075,run1
3,white3,s,0,845,run1
3,love,w,0,1035,run1
4,block4,w,0,350,run1
5,black2,w,0,785,run1
5,black5,a,1,845,run1
5,white3,s,0,745,run1
5,white2,s,0,735,run1
5,black1,w,0,1125,run1
5,black3,w,0,785,run1
5,white1,s,0,845,run1
5,black4,s,0,695,run1
5,white5,d,1,835,run1
5,white4,s,0,785,run1
6,white5,d,1,785,run1
6,black3,w,0,1075,run1
6,happy,a,1,845,run1
6,joy,a,1,695,run1
6,white1,s,0,835,run1
6,white2,s,0,735,run1
6,black5,a,1,835,run1
6,white3,s,0,785,run1
6,pleasure,s,0,735,run1
6,love,w,0,1125,run1
6,bad,w,0,785,run1
6,agony,s,0,845,run1
6,white4,s,0,695,run1
6,hurt,w,0,1125,run1
6,black2,w,0,785,run1
6,black4,s,0,845,run1
6,nasty,w,0,1035,run1
6,good,s,0,845,run1
6,black1,w,0,1035,run1
6,evil,s,0,845,run1
