block,stimulus,response,score,rt,filename
1,happy,s,0,745,run1
1,nasty,s,0,495,run1
1,agony,d,1,635,run1
1,joy,s,0,585,run1
1,love,s,0,535,run1
1,hurt,s,0,585,run1
1,pleasure,s,0,585,run1
1,good,s,0,585,run1
1,evil,,0,0,run1
1,bad,,0,-475,run1
2,white4,,0,-975,run1
2,white5,,0,-1475,run1
2,black3,,0,-1975,run1
2,black2,,0,-2475,run1
2,white2,,0,-2975,run1
2,black5,,0,-3475,run1
2,white1,,0,-3975,run1
2,black1,,0,-4475,run1
2,white3,,0,-4975,run1
2,black4,,0,-5475,run1
3,white4,,0,-5975,run1
3,white2,,0,-6475,run1
3,black5,,0,-6975,run1
3,bad,,0,-7475,run1
3,happy,,0,-7975,run1
3,nasty,,0,-8475,run1
3,love,,0,-8975,run1
3,black4,,0,-9475,run1
3,black3,,0,-9975,run1
3,pleasure,,0,-10475,run1
3,black1,,0,-10975,run1
3,black2,,0,-11475,run1
3,agony,,0,-11975,run1
3,white5,,0,-12475,run1
3,white1,,0,-12975,run1
3,evil,,0,-13475,run1
3,white3,,0,-13975,run1
3,good,,0,-14475,run1
3,joy,,0,-14975,run1
3,hurt,,0,-15475,run1
4,block4,,0,-15975,run1
5,white1,,0,-16475,run1
5,black3,,0,-16975,run1
5,black2,,0,-17475,run1
5,black5,,0,-17975,run1
5,white2,,0,-18475,run1
5,white3,,0,-18975,run1
5,white5,,0,-19475,run1
5,black1,,0,-19975,run1
5,black4,,0,-20475,run1
5,white4,,0,-20975,run1
6,black5,,0,-21475,run1
6,bad,,0,-21975,run1
6,white4,,0,-22475,run1
6,joy,,0,-22975,run1
6,black4,,0,-23475,run1
6,good,,0,-23975,run1
6,hurt,,0,-24475,run1
6,agony,,0,-24975,run1
6,black1,,0,-25475,run1
6,white5,,0,-25975,run1
6,black3,,0,-26475,run1
6,white3,,0,-26975,run1
6,happy,,0,-27475,run1
6,white1,,0,-27975,run1
6,black2,,0,-28475,run1
6,evil,,0,-28975,run1
6,white2,,0,-29475,run1
6,pleasure,,0,-29975,run1
6,love,,0,-30475,run1
6,nasty,,0,-30975,run1
