block,stimulus,response,score,rt,filename
1,evil,a,0,1545,run1
1,agony,d,1,1345,run1
1,good,d,0,1335,run1
1,joy,a,1,1435,run1
1,nasty,d,1,1385,run1
1,happy,a,1,1385,run1
1,bad,d,1,1385,run1
1,pleasure,a,1,1385,run1
1,love,a,1,1335,run1
1,hurt,d,1,1435,run1
2,black2,a,0,1385,run1
2,white1,d,0,1385,run1
2,black5,d,1,1335,run1
2,black1,d,1,1385,run1
2,white3,a,1,1435,run1
2,black3,d,1,1385,run1
2,white4,a,1,1385,run1
2,white2,a,1,1335,run1
2,white5,a,1,1385,run1
2,black4,d,1,1435,run1
3,white2,a,1,1385,run1
3,agony,d,1,1385,run1
3,evil,d,1,1335,run1
3,joy,a,1,1435,run1
3,white4,a,1,1335,run1
3,white1,a,1,1385,run1
3,bad,d,1,1435,run1
3,white3,a,1,1385,run1
3,nasty,d,1,1385,run1
3,black1,d,1,1335,run1
3,happy,a,1,1435,run1
3,black4,d,1,1385,run1
3,black2,d,1,1335,run1
3,white5,a,1,1435,run1
3,pleasure,a,1,1335,run1
3,black3,d,1,1435,run1
3,hurt,d,1,1335,run1
3,black5,d,1,1385,run1
3,love,a,1,1435,run1
3,good,a,1,1335,run1
4,block4,w,0,675,run1
5,black4,d,0,1445,run1
5,white5,a,0,1345,run1
5,white4,d,1,1385,run1
5,white2,d,1,1335,run1
5,black1,a,1,1435,run1
5,black5,a,1,1335,run1
5,white3,d,1,1435,run1
5,black3,a,1,1385,run1
5,white1,d,1,1385,run1
5,black2,a,1,1385,run1
6,good,a,1,1335,run1
6,black4,a,1,1385,run1
6,agony,d,1,1435,run1
6,evil,d,1,1335,run1
6,black3,a,1,1435,run1
6,white3,d,1,1385,run1
6,black2,a,1,1385,run1
6,happy,a,1,1335,run1
6,pleasure,a,1,1385,run1
6,white1,d,1,1435,run1
6,love,a,1,1385,run1
6,nasty,d,1,1385,run1
6,white2,d,1,1335,run1
6,joy,a,1,1435,run1
6,black5,a,1,1335,run1
6,white5,d,1,1435,run1
6,black1,a,1,1385,run1
6,bad,d,1,1385,run1
6,white4,d,1,1335,run1
6,hurt,d,1,1385,run1
1,hurt,a,0,1545,run2
1,happy,d,0,1345,run2
1,nasty,d,1,1335,run2
1,pleasure,a,1,1435,run2
1,good,a,1,1335,run2
1,agony,d,1,1435,run2
1,joy,a,1,1385,run2
1,evil,d,1,1385,run2
1,bad,d,1,1335,run2
1,love,a,1,1435,run2
2,black2,a,0,1335,run2
2,white1,d,0,1435,run2
2,white5,a,1,1385,run2
2,black4,d,1,1385,run2
2,black3,d,1,1335,run2
2,white4,a,1,1435,run2
2,black1,d,1,1385,run2
2,white2,a,1,1385,run2
2,white3,a,1,1335,run2
2,black5,d,1,1435,run2
3,hurt,d,1,1335,run2
3,joy,a,1,1435,run2
3,black4,d,1,1385,run2
3,white1,a,1,1385,run2
3,pleasure,a,1,1335,run2
3,black3,d,1,1435,run2
3,nasty,d,1,1335,run2
3,agony,d,1,1385,run2
3,evil,d,1,1385,run2
3,good,a,1,1435,run2
3,black1,d,1,1385,run2
3,black2,d,1,1335,run2
3,white3,a,1,1435,run2
3,happy,a,1,1335,run2
3,white4,a,1,1385,run2
3,black5,d,1,1435,run2
3,white5,a,1,1385,run2
3,bad,d,1,1385,run2
3,love,a,1,1385,run2
3,white2,a,1,1335,run2
4,block4,w,0,675,run2
5,white2,a,0,1445,run2
5,white4,d,1,1345,run2
5,black5,d,0,1335,run2
5,black2,a,1,1435,run2
5,black3,a,1,1335,run2
5,white3,d,1,1435,run2
5,black1,a,1,1385,run2
5,white1,d,1,1385,run2
5,black4,a,1,1385,run2
5,white5,d,1,1385,run2
6,joy,a,1,1385,run2
6,good,a,1,1335,run2
6,black1,a,1,1385,run2
6,white5,d,1,1435,run2
6,hurt,d,1,1335,run2
6,white4,d,1,1385,run2
6,evil,d,1,1385,run2
6,bad,d,1,1385,run2
6,black3,a,1,1435,run2
6,black4,a,1,1335,run2
6,agony,d,1,1435,run2
6,love,a,1,1385,run2
6,nasty,d,1,1385,run2
6,white3,d,1,1335,run2
6,pleasure,a,1,1435,run2
6,black2,a,1,1335,run2
6,black5,a,1,1385,run2
6,white2,d,1,1435,run2
6,white1,d,1,1335,run2
6,happy,a,1,1435,run2
1,evil,a,0,1545,run3
1,hurt,d,1,1345,run3
1,agony,d,1,1335,run3
1,nasty,d,1,1385,run3
1,joy,d,0,1385,run3
1,love,a,1,1435,run3
1,pleasure,a,1,1335,run3
1,bad,d,1,1435,run3
1,good,a,1,1385,run3
1,happy,a,1,1335,run3
