block,stimulus,response,score,rt,name
1,love,a,1,864,p1
1,joy,a,1,825,p1
1,good,a,1,737,p1
1,pleasure,a,1,649,p1
1,hurt,l,1,693,p1
1,evil,l,1,456,p1
1,agony,l,1,1162,p1
1,nasty,l,1,686,p1
1,happy,a,1,667,p1
1,bad,l,1,672,p1
2,white4,a,1,2146,p1
2,black2,l,1,1255,p1
2,white5,a,1,938,p1
2,black1,l,1,633,p1
2,white2,a,1,1289,p1
2,black5,l,1,545,p1
2,white3,a,1,836,p1
2,white1,a,1,733,p1
2,black4,l,1,521,p1
2,black3,l,1,541,p1
3,white3,a,1,1700,p1
3,happy,a,1,690,p1
3,evil,l,1,594,p1
3,agony,l,1,1217,p1
3,nasty,l,1,600,p1
3,joy,a,1,513,p1
3,black2,l,1,680,p1
3,good,a,1,695,p1
3,black1,l,1,654,p1
3,love,a,1,549,p1
3,black5,l,1,1026,p1
3,white5,a,1,849,p1
3,black4,l,1,780,p1
3,hurt,l,1,692,p1
3,pleasure,a,1,652,p1
3,white1,a,1,874,p1
3,bad,l,1,1042,p1
3,black3,l,1,592,p1
3,white4,a,1,884,p1
3,white2,a,1,824,p1
4,white2,l,1,953,p1
4,black1,a,1,852,p1
4,black5,a,1,594,p1
4,white5,l,1,451,p1
4,black2,a,1,501,p1
4,black4,a,1,489,p1
4,white1,l,1,633,p1
4,black3,a,1,531,p1
4,white4,l,1,631,p1
4,white3,l,1,688,p1
5,white3,l,1,1473,p1
5,white2,l,1,919,p1
5,white4,l,1,827,p1
5,nasty,l,1,1276,p1
5,good,a,1,674,p1
5,agony,l,1,760,p1
5,happy,a,1,626,p1
5,black5,a,1,774,p1
5,black4,a,1,639,p1
5,white5,l,1,767,p1
5,white1,l,1,827,p1
5,hurt,l,1,757,p1
5,joy,a,1,493,p1
5,black3,a,1,731,p1
5,bad,l,1,992,p1
5,evil,l,1,565,p1
5,black1,a,1,767,p1
5,love,a,1,586,p1
5,black2,a,1,509,p1
5,pleasure,a,1,618,p1
1,hurt,l,1,2276,p2
1,nasty,l,1,1006,p2
1,happy,a,1,684,p2
1,good,a,1,547,p2
1,agony,l,1,889,p2
1,pleasure,a,1,534,p2
1,evil,l,1,435,p2
1,joy,a,1,449,p2
1,bad,l,1,563,p2
1,love,a,1,493,p2
2,black1,l,1,1385,p2
2,black4,l,1,1248,p2
2,white1,a,1,703,p2
2,white5,a,1,740,p2
2,black2,l,1,551,p2
2,white2,a,1,731,p2
2,black3,l,1,572,p2
2,white3,a,1,684,p2
2,white4,a,1,786,p2
2,black5,l,1,546,p2
3,black1,l,1,1585,p2
3,black2,l,1,767,p2
3,good,a,1,789,p2
3,bad,l,1,510,p2
3,nasty,l,1,645,p2
3,white2,a,1,653,p2
3,white5,a,1,548,p2
3,love,a,1,669,p2
3,black5,l,1,583,p2
3,joy,a,1,592,p2
3,happy,a,1,563,p2
3,white3,a,1,609,p2
3,agony,l,1,856,p2
3,evil,l,1,431,p2
3,white4,a,1,646,p2
3,hurt,l,1,610,p2
3,black3,l,1,739,p2
3,white1,a,1,623,p2
3,pleasure,a,1,475,p2
3,black4,l,1,582,p2
4,white2,a,0,556,p2
4,black3,a,1,1667,p2
4,white1,l,1,788,p2
4,black4,a,1,533,p2
4,black5,a,1,698,p2
4,black2,a,1,502,p2
4,white4,l,1,564,p2
4,white5,l,1,569,p2
4,black1,a,1,346,p2
4,white3,l,1,513,p2
5,black2,a,1,800,p2
5,joy,a,1,692,p2
5,white2,l,1,577,p2
5,black5,a,1,580,p2
5,white1,l,1,575,p2
5,hurt,a,0,1311,p2
5,agony,l,1,1092,p2
5,bad,l,1,870,p2
5,nasty,l,1,657,p2
5,white4,l,1,744,p2
5,happy,a,1,774,p2
5,pleasure,a,1,655,p2
5,evil,l,1,618,p2
5,good,a,1,759,p2
5,love,a,1,518,p2
5,white5,l,1,623,p2
5,white3,l,1,512,p2
5,black4,a,1,582,p2
5,black1,a,1,458,p2
5,black3,a,1,378,p2
1,good,a,1,1948,p3
1,pleasure,a,1,1104,p3
1,evil,l,1,943,p3
1,hurt,l,1,807,p3
1,joy,a,1,857,p3
1,love,a,1,619,p3
1,happy,a,1,667,p3
1,bad,l,1,762,p3
1,agony,l,1,963,p3
1,nasty,l,1,933,p3
2,white2,a,1,1569,p3
2,white5,a,1,2001,p3
2,black1,l,1,1348,p3
2,white4,a,1,1552,p3
2,white1,a,1,1219,p3
2,white3,a,1,931,p3
2,black2,l,1,1112,p3
2,black3,l,1,765,p3
2,black4,l,1,625,p3
2,black5,l,1,619,p3
3,white3,a,1,1260,p3
3,bad,l,1,1220,p3
3,evil,l,1,860,p3
3,white4,a,1,1289,p3
3,good,a,1,801,p3
3,joy,a,1,699,p3
3,pleasure,a,1,576,p3
3,love,a,1,628,p3
3,agony,l,1,854,p3
3,white1,a,1,1436,p3
3,black4,l,1,756,p3
3,nasty,l,1,846,p3
3,black3,l,1,743,p3
3,happy,a,1,698,p3
3,black2,l,1,777,p3
3,hurt,l,1,651,p3
3,white5,a,1,642,p3
3,black5,l,1,642,p3
3,white2,a,1,704,p3
3,black1,l,1,574,p3
4,black3,a,1,849,p3
4,black5,a,1,635,p3
4,white4,l,1,729,p3
4,black2,a,1,663,p3
4,white2,l,1,571,p3
4,black1,a,1,625,p3
4,black4,a,1,791,p3
4,white5,l,1,572,p3
4,white1,l,1,751,p3
4,white3,l,1,780,p3
5,good,a,1,1102,p3
5,black4,a,1,787,p3
5,black2,a,1,1005,p3
5,happy,a,1,627,p3
5,joy,a,1,695,p3
5,white2,l,1,1309,p3
5,love,a,1,1072,p3
5,pleasure,a,1,800,p3
5,black5,a,1,1074,p3
5,agony,l,1,761,p3
5,white3,l,1,1306,p3
5,black1,a,1,1033,p3
5,black3,a,1,738,p3
5,nasty,l,1,869,p3
5,white1,l,1,948,p3
5,white4,l,1,688,p3
5,hurt,l,1,685,p3
5,evil,l,1,940,p3
5,bad,l,1,910,p3
5,white5,l,1,861,p3
1,evil,l,1,1409,p4
1,happy,a,1,729,p4
1,love,a,1,645,p4
1,good,a,1,528,p4
1,agony,l,1,730,p4
1,nasty,l,1,579,p4
1,hurt,l,1,545,p4
1,bad,l,1,518,p4
1,pleasure,a,1,521,p4
1,joy,a,1,511,p4
2,black1,a,0,4253,p4
2,black3,l,1,1498,p4
2,white5,l,0,1575,p4
2,black2,l,1,1473,p4
2,black5,a,0,2696,p4
2,white3,l,0,2836,p4
2,white2,a,1,2932,p4
2,black4,a,0,1038,p4
2,white4,a,1,1072,p4
2,white1,l,0,1836,p4
3,hurt,l,1,943,p4
3,white1,l,0,2167,p4
3,white5,a,1,1428,p4
3,white3,a,1,3681,p4
3,black3,a,0,2461,p4
3,white4,a,1,2330,p4
3,evil,l,1,782,p4
3,black2,a,0,1688,p4
3,joy,a,1,1217,p4
3,nasty,l,1,821,p4
3,pleasure,a,1,755,p4
3,black1,a,0,1897,p4
3,good,a,1,1289,p4
3,white2,a,1,892,p4
3,black4,l,1,1458,p4
3,black5,l,1,1121,p4
3,love,a,1,827,p4
3,bad,l,1,1054,p4
3,agony,l,1,725,p4
3,happy,a,1,581,p4
4,white2,a,0,1526,p4
4,black4,a,1,1928,p4
4,black2,a,1,1167,p4
4,black5,a,1,509,p4
4,black3,a,1,498,p4
4,white5,a,0,425,p4
4,black1,a,1,1041,p4
4,white4,a,0,626,p4
4,white3,l,1,3643,p4
4,white1,l,1,1759,p4
5,black1,a,1,1668,p4
5,black4,l,0,1758,p4
